,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
6792,64807,Sales & Marketing,region_15,0,m,other,1,27,1.0,3,0,0,51,0
6827,38567,Sales & Marketing,region_28,0,m,sourcing,1,30,,1,0,0,49,0
6857,55665,Sales & Marketing,region_22,0,m,other,1,28,,1,0,0,49,0
6907,47981,Sales & Marketing,region_28,0,m,other,1,28,2.0,3,1,0,49,0
6912,72313,Sales & Marketing,region_2,0,m,other,2,29,3.0,3,0,0,54,0
6916,14714,Sales & Marketing,region_2,0,m,other,1,26,4.0,2,0,0,51,0
6943,65456,Sales & Marketing,region_15,0,m,other,2,23,3.0,2,0,0,46,0
6949,39609,Finance,region_2,0,m,sourcing,2,32,3.0,3,0,0,59,0
6951,9015,Analytics,region_22,0,m,sourcing,1,25,,1,1,0,83,0
6984,36041,Sales & Marketing,region_2,0,m,other,1,53,3.0,8,0,0,52,0
6985,53205,Analytics,region_7,0,m,sourcing,1,31,5.0,7,0,0,85,0
7003,15015,Sales & Marketing,region_31,0,f,sourcing,1,27,3.0,3,0,0,43,0
7029,70646,Operations,region_2,0,m,other,1,30,4.0,3,0,0,61,0
7071,21743,Sales & Marketing,region_2,0,m,sourcing,1,47,4.0,24,0,0,54,0
7100,15456,Sales & Marketing,region_15,0,m,sourcing,1,22,3.0,1,0,0,50,0
7108,30973,Sales & Marketing,region_28,0,m,other,1,25,4.0,3,0,0,55,0
7149,22829,Operations,region_2,0,m,sourcing,1,46,2.0,3,1,0,57,0
7159,63951,R&D,region_2,0,m,sourcing,2,27,4.0,2,0,0,89,0
7160,45184,Sales & Marketing,region_2,0,m,other,1,24,3.0,2,1,0,50,0
7221,13853,Sales & Marketing,region_22,0,m,sourcing,2,27,,1,0,0,48,0
7261,386,Sales & Marketing,region_2,0,m,other,1,36,5.0,7,0,0,51,0
7266,66215,Operations,region_2,0,f,other,1,28,3.0,2,0,0,62,0
7273,60658,Operations,region_31,0,m,sourcing,1,27,,1,0,0,60,0
7278,55075,Sales & Marketing,region_7,0,m,other,1,31,5.0,5,1,0,48,0
7286,1928,Sales & Marketing,region_5,0,m,other,1,23,3.0,2,0,0,49,0
7302,65097,Analytics,region_2,0,m,sourcing,1,24,4.0,2,0,0,88,0
7366,29768,Sales & Marketing,region_16,0,m,other,1,33,1.0,6,0,0,50,0
7369,37382,Sales & Marketing,region_26,0,m,other,1,24,3.0,3,0,0,51,0
7400,64246,Sales & Marketing,region_13,0,m,sourcing,1,46,3.0,13,0,0,49,0
7403,26720,Analytics,region_27,0,m,sourcing,1,31,3.0,3,1,0,97,1
7410,26906,Technology,region_2,0,f,other,1,51,3.0,7,0,0,80,0
7450,41483,HR,region_2,0,f,sourcing,1,28,2.0,5,0,0,49,0
7478,61084,Technology,region_2,0,m,other,1,38,1.0,7,0,0,84,0
7492,68771,Operations,region_2,0,f,sourcing,1,30,1.0,3,0,0,65,0
7498,38782,Sales & Marketing,region_7,0,m,other,1,36,4.0,6,0,0,48,0
7500,56288,Sales & Marketing,region_9,0,m,sourcing,1,26,3.0,2,0,0,46,0
7514,27878,Sales & Marketing,region_7,0,m,other,1,37,5.0,4,1,0,49,1
7533,66876,Sales & Marketing,region_7,0,m,sourcing,2,26,,1,0,0,51,0
7569,3165,Procurement,region_2,0,f,sourcing,1,53,3.0,4,0,0,75,0
7570,59010,Analytics,region_15,0,m,sourcing,1,33,5.0,7,1,1,91,1
7615,15961,Operations,region_8,0,f,other,1,29,,1,0,0,59,0
7646,13955,Sales & Marketing,region_2,0,m,other,1,28,5.0,7,0,0,53,0
7686,17802,Sales & Marketing,region_15,0,m,sourcing,1,45,3.0,5,0,0,51,0
7741,47602,Procurement,region_7,0,m,other,1,31,3.0,2,0,0,73,0
7803,69892,Sales & Marketing,region_22,0,f,other,1,27,,1,1,0,45,0
7804,48164,Sales & Marketing,region_28,0,m,other,1,29,5.0,1,0,0,46,0
7823,18249,Sales & Marketing,region_22,0,f,sourcing,2,28,3.0,6,0,0,50,0
7855,56216,Sales & Marketing,region_22,0,m,sourcing,1,24,5.0,1,0,0,50,0
7887,14754,Sales & Marketing,region_2,0,m,sourcing,1,22,,1,0,0,50,0
7907,72461,HR,region_2,0,m,other,1,44,3.0,3,0,0,49,0
7911,15261,Sales & Marketing,region_2,0,m,other,1,35,4.0,5,0,0,52,0
7917,38477,Operations,region_2,0,f,other,1,39,3.0,7,0,0,59,0
7953,23647,HR,region_32,0,f,other,1,27,5.0,2,0,0,50,0
7955,4196,Sales & Marketing,region_7,0,m,other,1,47,1.0,17,0,0,51,0
7980,67776,Technology,region_2,0,f,other,1,42,2.0,14,0,0,80,0
8005,4283,Sales & Marketing,region_9,0,m,sourcing,1,26,1.0,2,0,0,48,0
8017,31753,Sales & Marketing,region_6,0,m,sourcing,1,31,3.0,5,1,0,54,0
8073,4207,Analytics,region_15,0,m,other,1,27,3.0,4,0,0,82,0
8079,2154,Sales & Marketing,region_6,0,m,sourcing,1,26,1.0,3,0,0,46,0
8126,60810,Sales & Marketing,region_16,0,m,sourcing,2,25,3.0,1,0,0,48,0
8151,10323,Sales & Marketing,region_22,0,m,sourcing,2,28,3.0,5,0,0,52,0
8160,61669,Sales & Marketing,region_2,0,m,other,1,30,4.0,4,0,0,51,0
8175,57367,Sales & Marketing,region_13,0,m,sourcing,1,30,5.0,4,0,0,55,0
8197,13635,Operations,region_15,0,m,other,1,33,3.0,5,1,0,63,1
8213,54027,Sales & Marketing,region_15,0,m,other,1,31,4.0,5,1,0,50,0
8269,10581,Technology,region_2,0,f,other,1,38,3.0,9,0,0,77,0
8272,62806,Sales & Marketing,region_7,0,m,sourcing,1,24,,1,0,0,53,0
8322,17856,Operations,region_2,0,f,other,1,32,4.0,8,1,0,60,0
8365,11708,Sales & Marketing,region_28,0,m,other,1,29,,1,0,0,51,0
8407,22170,HR,region_2,0,m,sourcing,1,36,5.0,10,0,0,45,0
8411,39110,Operations,region_9,0,m,other,1,28,3.0,5,0,0,62,0
8427,37139,Sales & Marketing,region_15,0,m,other,1,35,1.0,3,0,0,50,0
8448,40680,Sales & Marketing,region_9,0,m,other,1,30,2.0,5,0,0,46,0
8465,69603,Operations,region_2,0,m,sourcing,1,36,4.0,2,1,0,61,0
8480,33217,Analytics,region_22,0,m,sourcing,1,30,2.0,2,0,0,81,0
8585,6496,Sales & Marketing,region_2,0,m,other,2,47,3.0,10,0,0,50,0
8592,60061,Analytics,region_2,0,m,sourcing,1,23,5.0,2,0,0,87,0
8593,47237,Sales & Marketing,region_14,0,m,sourcing,2,25,3.0,2,0,0,50,0
8612,74497,Sales & Marketing,region_11,0,m,other,1,36,3.0,9,0,0,49,0
8622,12491,Operations,region_2,0,f,other,1,29,,1,0,0,55,0
8677,51433,Sales & Marketing,region_22,0,m,sourcing,2,23,,1,0,0,50,0
8680,29898,Sales & Marketing,region_23,0,m,sourcing,1,39,5.0,2,0,0,51,0
8686,68736,Procurement,region_2,0,f,sourcing,1,38,3.0,5,1,0,70,0
8693,68707,Sales & Marketing,region_32,0,m,other,1,23,,1,0,0,50,0
8696,46272,Analytics,region_7,0,m,sourcing,1,27,4.0,2,0,0,90,0
8698,44775,Sales & Marketing,region_26,0,m,other,1,22,3.0,2,0,0,48,0
8748,29299,Operations,region_15,0,m,other,1,37,3.0,3,0,0,62,0
8770,13727,Sales & Marketing,region_28,0,m,other,1,30,3.0,3,1,0,52,0
8780,62067,Operations,region_2,0,m,sourcing,1,38,3.0,7,0,0,58,0
8787,43823,Sales & Marketing,region_5,0,m,other,1,23,5.0,2,0,0,48,0
8795,25250,Sales & Marketing,region_7,0,m,sourcing,1,24,3.0,2,0,0,47,0
8798,64439,HR,region_2,0,f,other,1,43,4.0,9,0,0,52,0
8819,27121,Sales & Marketing,region_2,0,m,sourcing,1,45,4.0,6,0,0,50,0
8832,39539,Analytics,region_32,0,m,sourcing,1,24,4.0,2,0,0,82,0
8891,9408,Analytics,region_22,0,m,other,2,27,3.0,6,0,0,85,0
8912,43478,Analytics,region_26,0,m,other,1,28,,1,1,0,81,0
8922,55628,Analytics,region_22,0,m,sourcing,2,27,5.0,2,1,0,83,0
8947,21436,Sales & Marketing,region_5,0,m,sourcing,1,23,,1,1,0,55,0
8975,75027,Sales & Marketing,region_2,0,m,other,1,35,1.0,4,0,0,54,0
9017,61410,Sales & Marketing,region_7,0,m,other,1,28,3.0,2,0,0,55,0
9028,29955,Sales & Marketing,region_13,0,m,sourcing,1,26,2.0,5,0,0,50,0
9041,59277,Sales & Marketing,region_16,0,m,other,1,31,1.0,7,0,0,47,0
9050,287,Sales & Marketing,region_22,0,m,sourcing,1,22,,1,0,0,62,1
9112,10089,Analytics,region_32,0,m,other,1,28,,1,1,0,84,0
9118,36431,Operations,region_26,0,m,sourcing,1,29,3.0,2,0,0,58,0
9123,44767,Sales & Marketing,region_2,0,m,sourcing,1,45,3.0,7,1,0,52,0
9124,37009,Operations,region_15,0,m,other,1,40,3.0,6,0,0,64,0
9153,74537,Sales & Marketing,region_26,0,m,other,1,37,1.0,8,0,0,47,0
9167,71962,Sales & Marketing,region_2,0,m,sourcing,1,31,5.0,4,1,0,48,0
9275,46918,Sales & Marketing,region_2,0,m,sourcing,1,22,,1,0,0,49,0
9289,17245,Operations,region_7,0,m,sourcing,1,34,3.0,7,0,0,61,0
9387,76437,Sales & Marketing,region_7,0,m,other,3,25,,1,1,0,47,0
9451,65004,Sales & Marketing,region_2,0,m,sourcing,2,25,5.0,3,1,0,48,0
9469,35684,Sales & Marketing,region_7,0,m,other,1,25,5.0,3,1,0,50,1
9487,27060,Analytics,region_22,0,m,sourcing,2,29,5.0,4,1,0,89,0
9517,26269,Sales & Marketing,region_2,0,f,other,1,59,3.0,13,0,0,47,0
9545,55710,Analytics,region_28,0,m,sourcing,1,34,3.0,6,1,0,86,1
9568,6839,Sales & Marketing,region_2,0,m,sourcing,1,25,1.0,3,0,0,49,0
9586,27646,Sales & Marketing,region_2,0,f,other,1,53,3.0,22,0,0,47,0
9623,60984,Analytics,region_15,0,m,other,1,34,3.0,4,0,0,83,0
9642,73970,Sales & Marketing,region_26,0,m,sourcing,1,23,2.0,1,0,0,49,0
9650,57162,Analytics,region_22,0,m,other,1,30,4.0,2,1,0,86,0
9668,423,Sales & Marketing,region_22,0,m,other,1,29,4.0,5,0,0,51,0
9691,30625,Sales & Marketing,region_2,0,m,other,3,38,3.0,7,0,0,45,0
9728,76233,Sales & Marketing,region_15,0,m,sourcing,1,39,4.0,7,0,0,51,0
9737,42100,Sales & Marketing,region_3,0,m,other,1,24,,1,0,0,51,0
9751,57237,Sales & Marketing,region_9,0,m,other,1,31,2.0,5,0,0,51,0
9792,43487,Sales & Marketing,region_15,0,m,other,1,32,2.0,3,1,0,48,0
9810,50926,Sales & Marketing,region_2,0,f,other,1,56,2.0,3,0,0,49,0
9835,15458,Operations,region_2,0,m,sourcing,3,39,3.0,7,0,0,57,0
9847,31534,Sales & Marketing,region_2,0,m,sourcing,1,29,1.0,5,1,0,47,0
9871,61142,Sales & Marketing,region_31,0,m,other,1,27,5.0,6,1,0,52,0
9891,66493,Sales & Marketing,region_27,0,m,sourcing,1,31,3.0,9,0,0,51,0
9904,55782,Operations,region_8,0,m,sourcing,1,27,3.0,2,1,0,58,0
9913,44717,Sales & Marketing,region_2,0,m,other,2,25,2.0,2,0,0,53,0
9948,22335,Sales & Marketing,region_7,0,m,sourcing,2,26,3.0,4,0,0,47,0
9991,45088,Sales & Marketing,region_2,0,m,other,4,21,3.0,1,0,0,51,0
10022,57825,Sales & Marketing,region_7,0,m,other,1,23,2.0,2,1,0,47,0
10027,58754,Sales & Marketing,region_7,0,m,other,1,24,4.0,2,0,0,53,0
10031,40700,Sales & Marketing,region_22,0,f,other,3,29,3.0,6,0,0,49,0
10045,64204,Sales & Marketing,region_26,0,m,other,1,24,5.0,2,1,0,55,0
10057,64280,Sales & Marketing,region_4,0,m,other,1,38,5.0,10,1,0,49,0
10092,11594,Analytics,region_31,0,m,other,1,30,4.0,4,0,0,83,0
10096,18467,Sales & Marketing,region_2,0,m,other,1,32,5.0,5,0,0,46,0
10108,53058,Sales & Marketing,region_31,0,m,sourcing,2,27,2.0,2,0,0,48,0
10129,19142,Analytics,region_2,0,m,sourcing,1,25,5.0,1,1,0,87,0
10165,62223,Operations,region_15,0,m,other,2,31,3.0,3,1,0,59,0
10170,45976,Sales & Marketing,region_2,0,m,other,1,23,,1,0,0,49,0
10217,24644,Sales & Marketing,region_28,0,m,sourcing,1,35,1.0,9,0,0,50,0
10228,35162,Sales & Marketing,region_2,0,m,other,1,29,,1,0,0,49,0
10269,60886,Sales & Marketing,region_2,0,m,sourcing,1,21,,1,0,0,53,0
10273,16536,Technology,region_23,0,m,other,1,30,3.0,3,0,0,83,0
10287,48497,Sales & Marketing,region_2,0,m,sourcing,2,24,,1,1,0,40,0
10292,75037,Procurement,region_15,0,f,sourcing,1,53,4.0,19,1,0,66,0
10303,77511,Sales & Marketing,region_22,0,m,sourcing,1,30,4.0,6,0,0,49,0
10309,64492,Analytics,region_22,0,m,other,1,22,1.0,1,1,0,82,0
10315,38671,Sales & Marketing,region_22,0,m,other,1,29,1.0,8,0,0,50,0
10326,38336,Sales & Marketing,region_26,0,m,sourcing,1,24,,1,0,0,54,0
10339,26738,R&D,region_22,0,m,sourcing,1,29,4.0,5,0,0,84,0
10343,36281,Procurement,region_2,0,f,sourcing,1,31,3.0,5,0,0,68,0
10356,49422,Sales & Marketing,region_2,0,f,other,1,59,5.0,12,0,0,48,0
10365,37380,Analytics,region_2,0,m,sourcing,1,58,3.0,17,0,0,87,0
10368,32948,Sales & Marketing,region_7,0,m,other,1,26,3.0,4,0,0,43,0
10372,52340,Sales & Marketing,region_16,0,m,other,1,21,3.0,2,0,0,49,0
10375,12979,Sales & Marketing,region_28,0,m,other,1,33,4.0,7,0,0,50,0
10416,30240,Sales & Marketing,region_2,0,m,other,1,23,,1,1,0,47,1
10422,17821,Sales & Marketing,region_2,0,f,other,1,47,1.0,16,0,0,44,0
10438,69954,Operations,region_15,0,m,other,1,39,3.0,10,0,0,65,0
10465,5468,Sales & Marketing,region_9,0,m,other,1,28,3.0,4,0,0,50,0
10486,3260,Analytics,region_2,0,m,other,1,37,4.0,5,0,0,87,0
10489,17789,Sales & Marketing,region_2,0,m,other,1,36,4.0,9,0,0,50,0
10515,63830,Sales & Marketing,region_7,0,m,other,1,27,1.0,4,0,0,49,0
10540,11644,Sales & Marketing,region_27,0,m,other,1,26,1.0,2,0,0,51,0
10605,51475,Technology,region_2,0,f,sourcing,1,45,4.0,6,0,0,79,0
10617,44473,Analytics,region_9,0,m,other,1,28,,1,0,0,83,0
10624,1063,Sales & Marketing,region_9,0,m,sourcing,1,31,1.0,2,0,0,50,0
10631,56648,Sales & Marketing,region_7,0,m,sourcing,1,25,,1,1,0,48,0
10655,69394,Sales & Marketing,region_30,0,m,other,1,32,2.0,5,0,0,52,0
10663,27595,Analytics,region_22,0,m,sourcing,1,25,3.0,2,0,0,85,0
10664,55152,Analytics,region_2,0,m,other,1,32,1.0,6,0,0,82,0
10687,54009,Analytics,region_7,0,m,sourcing,1,26,5.0,3,0,0,89,0
10692,16412,Procurement,region_17,0,f,other,1,31,3.0,3,1,0,70,1
10715,41353,Technology,region_22,0,m,other,1,29,4.0,2,0,0,76,0
10717,41896,Sales & Marketing,region_32,0,m,other,2,29,3.0,7,0,0,50,0
10762,49937,Sales & Marketing,region_22,0,f,sourcing,1,29,3.0,3,0,0,46,0
10774,18951,R&D,region_22,0,m,other,1,27,3.0,4,0,0,80,0
10802,33353,Sales & Marketing,region_2,0,m,other,1,30,3.0,4,0,0,53,0
10804,72680,Analytics,region_7,0,m,other,2,29,3.0,5,0,0,88,0
10827,7222,Technology,region_2,0,f,sourcing,1,31,4.0,5,0,0,79,0
10838,69216,Technology,region_2,0,m,other,1,51,3.0,8,0,0,84,0
10848,42551,Sales & Marketing,region_2,0,m,other,1,40,5.0,14,1,0,55,0
10851,9280,Sales & Marketing,region_2,0,m,other,2,24,3.0,1,0,0,65,1
10896,64820,Sales & Marketing,region_25,0,m,other,1,24,1.0,2,0,0,47,0
10948,32029,Operations,region_15,0,m,sourcing,1,37,1.0,4,0,0,62,0
10952,15508,Analytics,region_15,0,m,other,1,29,,1,0,0,85,0
10969,50495,Analytics,region_22,0,m,other,1,25,,1,0,0,80,0
10989,8192,Sales & Marketing,region_2,0,m,other,1,23,,1,0,0,50,0
10991,19884,Sales & Marketing,region_2,0,f,other,1,35,4.0,9,0,0,50,0
10998,43693,Sales & Marketing,region_13,0,m,other,1,26,5.0,3,0,0,49,0
11102,52809,Sales & Marketing,region_10,0,m,sourcing,1,33,3.0,9,0,0,50,0
11121,66413,Sales & Marketing,region_25,0,m,other,1,30,4.0,3,0,0,49,0
11150,62578,Analytics,region_26,0,m,sourcing,1,32,3.0,5,1,0,81,0
11181,2664,Sales & Marketing,region_22,0,m,other,2,26,,1,0,0,50,0
11208,144,Sales & Marketing,region_2,0,m,other,1,29,5.0,3,1,0,54,0
11209,36733,Legal,region_22,0,m,sourcing,1,33,5.0,3,0,0,56,0
11279,48904,Analytics,region_31,0,m,other,2,27,,1,0,0,83,0
11324,48620,Operations,region_31,0,m,other,1,30,5.0,6,1,0,57,0
11326,13653,Sales & Marketing,region_15,0,m,sourcing,1,39,5.0,7,1,0,51,0
11347,72952,Analytics,region_32,0,m,other,1,29,,1,0,0,81,0
11360,41310,Operations,region_15,0,m,other,1,31,4.0,4,1,0,59,0
11386,48568,Sales & Marketing,region_15,0,m,sourcing,4,27,1.0,5,0,1,53,0
11394,24488,Operations,region_23,0,m,other,1,29,3.0,2,0,0,60,0
11415,46383,Sales & Marketing,region_2,0,m,sourcing,1,32,3.0,7,0,0,48,0
11428,25927,Analytics,region_2,0,m,sourcing,1,24,3.0,2,0,0,86,0
11492,59188,Sales & Marketing,region_22,0,m,other,1,22,5.0,2,0,0,48,0
11603,37509,Sales & Marketing,region_13,0,m,sourcing,1,22,,1,1,0,48,0
11624,57759,Analytics,region_22,0,m,sourcing,1,31,5.0,5,1,0,87,0
11645,37499,Sales & Marketing,region_7,0,m,other,1,25,5.0,2,1,0,52,0
11646,45201,Operations,region_31,0,m,sourcing,1,30,5.0,5,1,0,59,0
11659,69560,Procurement,region_2,0,m,sourcing,1,35,3.0,4,0,0,73,0
11671,70219,Finance,region_2,0,m,other,1,39,3.0,7,0,0,57,0
11699,71384,Procurement,region_2,0,m,sourcing,1,32,4.0,6,1,0,68,0
11711,16057,Analytics,region_26,0,m,sourcing,1,31,5.0,3,0,0,86,0
11718,28917,Operations,region_2,0,m,other,1,39,1.0,5,0,0,56,0
11725,37773,Operations,region_7,0,m,sourcing,1,29,3.0,3,0,0,58,0
11736,12250,Sales & Marketing,region_7,0,m,sourcing,1,28,2.0,5,0,0,53,0
11763,15358,Analytics,region_32,0,f,other,1,28,1.0,2,0,0,83,0
11825,59706,Sales & Marketing,region_31,0,m,sourcing,1,23,1.0,2,0,0,47,0
11848,17292,Sales & Marketing,region_22,0,m,other,1,27,1.0,3,0,0,46,0
11851,9904,Analytics,region_2,0,m,sourcing,1,26,3.0,2,0,0,84,0
11859,14533,Analytics,region_22,0,f,other,1,28,3.0,4,1,0,83,0
11867,13759,Sales & Marketing,region_22,0,m,other,3,28,,1,0,0,51,0
11924,30692,Sales & Marketing,region_14,0,m,sourcing,1,22,,1,0,0,63,1
11935,52117,Analytics,region_2,0,m,other,2,31,1.0,7,0,0,82,0
11967,62491,Sales & Marketing,region_7,0,m,other,1,23,,1,0,0,50,0
12048,35143,Sales & Marketing,region_26,0,m,other,2,24,1.0,2,1,0,50,0
12084,51758,Analytics,region_27,0,m,sourcing,1,28,,1,0,0,86,0
12085,58944,Sales & Marketing,region_28,0,m,other,1,30,4.0,4,0,0,54,0
12086,56363,Sales & Marketing,region_2,0,m,other,2,32,2.0,4,0,0,45,0
12144,11096,Finance,region_2,0,m,other,1,27,3.0,5,0,0,59,0
12189,59765,Sales & Marketing,region_7,0,m,sourcing,1,36,1.0,4,0,0,49,0
12208,23327,Sales & Marketing,region_27,0,m,other,1,36,1.0,4,0,0,52,0
12221,13132,Analytics,region_22,0,m,sourcing,2,22,,1,1,0,83,0
12248,38760,Sales & Marketing,region_7,0,m,sourcing,1,37,3.0,5,0,0,55,0
12263,33204,Sales & Marketing,region_26,0,m,other,1,29,3.0,3,0,0,51,0
12272,35110,Technology,region_22,0,m,other,1,29,1.0,4,0,0,78,0
12283,52339,Sales & Marketing,region_27,0,m,sourcing,4,29,3.0,3,0,0,53,0
12290,77203,Sales & Marketing,region_6,0,m,sourcing,1,27,3.0,2,0,0,48,0
12345,42395,Sales & Marketing,region_28,0,m,sourcing,1,29,5.0,5,0,0,47,0
12383,9938,Sales & Marketing,region_16,0,m,other,1,24,5.0,2,1,0,48,1
12391,53421,Sales & Marketing,region_2,0,f,other,1,60,3.0,8,0,0,51,0
12410,19660,Analytics,region_15,0,m,other,1,29,3.0,2,0,0,89,0
12428,1061,Sales & Marketing,region_2,0,m,other,1,50,3.0,21,0,0,51,0
12438,35500,Sales & Marketing,region_23,0,m,sourcing,1,31,2.0,1,0,0,47,0
12468,36963,Analytics,region_22,0,m,sourcing,1,29,1.0,6,1,0,84,0
12492,61010,Analytics,region_2,0,m,sourcing,1,32,1.0,6,0,0,83,0
12501,48022,Technology,region_2,0,m,sourcing,2,28,3.0,4,0,0,81,0
12513,67132,Sales & Marketing,region_22,0,m,other,1,30,3.0,6,1,0,50,1
12518,46088,Sales & Marketing,region_2,0,m,other,2,23,,1,0,0,51,0
12531,61981,Sales & Marketing,region_22,0,m,other,1,26,4.0,1,0,0,51,0
12540,42778,Analytics,region_31,0,m,other,1,29,5.0,2,0,0,84,0
12592,58424,Sales & Marketing,region_27,0,m,other,1,32,4.0,4,0,0,53,0
12623,75280,Operations,region_2,0,m,other,1,36,3.0,9,0,0,61,0
12672,2566,Sales & Marketing,region_2,0,f,other,1,21,3.0,2,0,0,51,0
12676,3493,Sales & Marketing,region_26,0,m,sourcing,1,40,2.0,9,0,0,50,0
12677,53268,Analytics,region_22,0,m,sourcing,2,28,5.0,2,1,0,86,0
12745,13424,Sales & Marketing,region_7,0,m,other,1,34,4.0,7,0,0,47,0
12761,38472,Analytics,region_2,0,m,other,1,36,5.0,7,1,0,90,0
12797,29967,Sales & Marketing,region_2,0,m,other,1,51,3.0,19,0,0,50,0
12831,71151,Analytics,region_22,0,f,sourcing,1,29,3.0,5,0,0,82,0
12922,19458,Sales & Marketing,region_2,0,m,sourcing,1,37,1.0,3,0,0,46,0
12938,39314,Sales & Marketing,region_2,0,m,other,2,44,2.0,11,0,0,49,0
12958,4104,Sales & Marketing,region_28,0,m,other,1,29,1.0,3,0,0,49,0
12962,39028,Sales & Marketing,region_2,0,f,other,1,25,,1,0,0,45,0
12972,78000,Sales & Marketing,region_31,0,m,other,1,26,1.0,3,0,0,48,0
12988,61945,Sales & Marketing,region_27,0,m,other,1,26,,1,0,0,48,0
13025,36180,Sales & Marketing,region_2,0,m,other,1,31,5.0,3,0,1,53,0
13037,48048,Sales & Marketing,region_14,0,m,other,1,23,1.0,2,0,0,53,0
13073,49519,Sales & Marketing,region_22,0,m,other,3,24,3.0,1,0,0,46,0
13078,30615,Technology,region_2,0,m,other,1,40,5.0,12,1,0,80,1
13122,68051,Sales & Marketing,region_7,0,m,sourcing,1,47,1.0,17,0,0,52,0
13128,21747,Sales & Marketing,region_2,0,f,other,1,47,2.0,7,0,0,51,0
13140,30965,Sales & Marketing,region_27,0,m,other,1,24,,1,0,0,51,0
13151,71543,Sales & Marketing,region_15,0,m,sourcing,1,40,3.0,4,1,1,50,0
13181,65485,Operations,region_11,0,f,other,1,30,4.0,5,0,0,53,0
13183,9733,Sales & Marketing,region_22,0,m,other,1,20,3.0,2,0,0,52,0
13200,56771,Finance,region_2,0,m,sourcing,1,38,5.0,4,0,0,60,0
13217,75509,Sales & Marketing,region_28,0,m,other,1,36,4.0,3,1,0,47,0
13255,18664,R&D,region_2,0,m,other,1,24,4.0,2,0,0,81,0
13326,63201,Analytics,region_2,0,m,other,1,29,,1,0,0,85,0
13337,56688,Operations,region_2,0,f,other,1,33,1.0,10,0,0,60,0
13350,72556,Sales & Marketing,region_16,0,m,sourcing,1,33,2.0,6,0,0,46,0
13359,23377,Operations,region_15,0,m,sourcing,1,39,3.0,11,1,0,64,1
13374,60211,Sales & Marketing,region_13,0,m,sourcing,1,22,5.0,2,0,0,51,0
13418,35862,Sales & Marketing,region_2,0,m,other,1,41,,1,1,0,48,0
13444,19972,Sales & Marketing,region_2,0,f,other,2,21,1.0,2,0,0,46,0
13568,78030,Sales & Marketing,region_15,0,m,sourcing,1,32,3.0,7,1,0,45,0
13620,65185,Operations,region_15,0,m,other,1,40,2.0,5,0,0,60,0
13697,15331,Sales & Marketing,region_15,0,m,sourcing,1,44,1.0,4,0,0,50,0
13699,54254,Procurement,region_2,0,m,other,1,42,3.0,2,0,0,70,0
13742,63697,Technology,region_2,0,f,sourcing,1,55,4.0,4,0,0,78,0
13789,77381,Sales & Marketing,region_2,0,m,other,1,24,,1,0,0,49,0
13801,15056,Sales & Marketing,region_2,0,m,other,1,25,,1,0,0,48,0
13812,5224,Sales & Marketing,region_13,0,m,sourcing,1,23,,1,0,0,49,0
13815,18318,Analytics,region_22,0,m,sourcing,1,25,5.0,2,1,0,80,0
13857,40465,Sales & Marketing,region_13,0,m,other,1,39,5.0,7,0,0,51,0
13874,2399,Procurement,region_2,0,f,sourcing,2,41,4.0,13,1,0,72,0
13882,48338,Sales & Marketing,region_7,0,m,sourcing,1,30,4.0,6,0,0,53,0
13905,69790,Sales & Marketing,region_7,0,m,other,2,26,2.0,3,0,0,51,0
13915,9043,Analytics,region_22,0,m,other,1,24,4.0,2,0,0,85,0
13964,48179,Analytics,region_22,0,m,sourcing,1,33,5.0,7,0,0,88,0
13970,75272,Sales & Marketing,region_15,0,m,sourcing,1,29,4.0,2,0,0,47,0
13977,27398,Sales & Marketing,region_7,0,m,other,1,36,1.0,9,0,0,56,0
13990,60511,Sales & Marketing,region_22,0,m,other,1,23,,1,0,0,42,0
13992,62462,Sales & Marketing,region_2,0,m,other,2,21,,1,1,0,45,0
14082,51110,Sales & Marketing,region_23,0,m,other,1,33,2.0,8,0,0,49,0
14114,53574,Sales & Marketing,region_2,0,m,sourcing,1,22,,1,1,0,45,1
14177,60865,Sales & Marketing,region_19,0,m,other,1,40,1.0,11,0,0,53,0
14209,33890,Sales & Marketing,region_22,0,m,sourcing,1,30,1.0,2,0,0,49,0
14217,42520,Sales & Marketing,region_26,0,m,sourcing,1,26,,1,0,0,50,0
14242,12860,Sales & Marketing,region_16,0,m,other,1,25,5.0,2,0,0,49,0
14243,29449,Sales & Marketing,region_7,0,m,other,2,25,1.0,4,1,0,52,0
14279,4412,Sales & Marketing,region_7,0,m,other,1,23,4.0,2,1,0,50,0
14320,28207,Sales & Marketing,region_16,0,m,sourcing,1,32,2.0,9,0,0,52,0
14323,1351,Analytics,region_15,0,m,sourcing,1,33,3.0,9,0,0,83,0
14328,22318,Sales & Marketing,region_26,0,m,other,1,26,5.0,2,0,0,50,0
14346,25488,Sales & Marketing,region_28,0,m,sourcing,1,31,2.0,5,0,0,56,0
14369,57331,Sales & Marketing,region_2,0,m,sourcing,1,24,4.0,2,0,0,47,0
14373,73737,Analytics,region_22,0,m,sourcing,1,28,,1,1,0,85,0
14385,34009,Procurement,region_26,0,f,sourcing,1,29,3.0,4,0,0,71,0
14426,25413,Sales & Marketing,region_16,0,m,sourcing,1,23,,1,0,0,52,0
