,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
1526,71377,Technology,region_24,Bachelor's,m,sourcing,2,29,3.0,1,0,0,79
1527,61887,R&D,region_22,Master's & above,m,other,1,29,3.0,1,0,0,80
1528,67266,Finance,region_14,Bachelor's,m,other,2,29,3.0,1,0,0,57
1529,19988,Technology,region_33,Bachelor's,m,other,1,29,3.0,1,0,0,78
1530,5385,Sales & Marketing,region_4,Bachelor's,m,other,1,29,3.0,1,0,0,48
1531,68584,Operations,region_26,Bachelor's,m,sourcing,1,28,5.0,1,1,0,60
1532,18819,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,26,3.0,1,0,0,51
1533,34742,HR,region_26,Bachelor's,f,other,1,25,3.0,1,0,0,45
1534,22046,Legal,region_2,Below Secondary,m,sourcing,1,26,3.0,1,0,0,61
1535,34702,Operations,region_27,Bachelor's,m,sourcing,1,30,3.0,1,0,0,55
1536,31446,Operations,region_15,Bachelor's,f,other,1,31,5.0,1,1,0,59
1537,13119,Analytics,region_17,Bachelor's,m,sourcing,1,29,3.0,1,0,0,88
1538,20405,Sales & Marketing,region_13,Bachelor's,m,other,1,30,3.0,1,0,0,55
1539,4792,Sales & Marketing,region_19,Bachelor's,f,sourcing,2,28,3.0,1,0,0,50
1540,73257,Sales & Marketing,region_20,Master's & above,m,other,1,32,3.0,1,0,0,47
1541,77584,Analytics,region_32,Master's & above,m,sourcing,1,28,5.0,1,1,0,86
1542,66396,Analytics,region_22,Bachelor's,m,other,1,27,3.0,1,0,0,85
1544,60605,Analytics,region_22,Bachelor's,f,other,2,29,3.0,1,0,0,83
1545,29556,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,29,3.0,1,0,0,54
1546,78196,Operations,region_13,Bachelor's,m,sourcing,2,25,3.0,1,0,0,57
1547,40935,Technology,region_22,Bachelor's,m,other,1,27,3.0,1,0,0,77
1548,52757,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,26,3.0,1,0,0,45
1549,13673,Sales & Marketing,region_34,Bachelor's,m,sourcing,3,26,1.0,1,0,0,41
1550,51810,Sales & Marketing,region_22,Bachelor's,f,sourcing,1,29,5.0,1,1,1,95
1551,27932,Sales & Marketing,region_14,Bachelor's,m,other,1,27,5.0,1,1,0,46
1552,862,Procurement,region_26,Bachelor's,m,other,1,25,5.0,1,1,0,69
1553,10407,Analytics,region_22,Bachelor's,m,other,1,31,5.0,1,1,0,84
1554,65289,Sales & Marketing,region_32,Bachelor's,m,other,1,29,3.0,1,0,0,48
1555,52318,R&D,region_22,Bachelor's,m,sourcing,1,29,5.0,1,1,0,83
1556,67498,Analytics,region_22,Bachelor's,m,other,3,27,3.0,1,0,0,87
1557,24915,Analytics,region_13,Bachelor's,m,sourcing,2,29,3.0,1,0,0,80
1558,25054,Operations,region_8,Bachelor's,f,sourcing,2,26,5.0,1,1,0,58
1559,28562,Sales & Marketing,region_25,Bachelor's,m,sourcing,1,28,5.0,1,1,0,44
1561,49420,Sales & Marketing,region_28,Bachelor's,m,other,1,29,3.0,1,0,0,49
1562,77084,Sales & Marketing,region_26,Bachelor's,m,other,1,28,5.0,1,1,0,50
1563,36678,Sales & Marketing,region_9,Bachelor's,m,other,1,27,3.0,1,0,0,52
1564,72202,Analytics,region_23,Bachelor's,m,sourcing,1,31,5.0,1,1,0,81
1565,51666,Procurement,region_13,Bachelor's,m,other,1,29,5.0,1,1,1,73
1566,37497,Technology,region_22,Bachelor's,m,sourcing,1,26,4.0,1,1,0,85
1567,54858,Technology,region_2,Below Secondary,f,other,1,23,4.0,1,1,0,80
1568,39386,Procurement,region_12,Bachelor's,m,other,2,25,3.0,1,0,0,65
1569,23785,Sales & Marketing,region_8,Bachelor's,m,other,1,29,3.0,1,0,0,50
1570,17526,Legal,region_22,Bachelor's,m,sourcing,1,26,5.0,1,1,0,55
1571,3406,Technology,region_23,Bachelor's,m,other,2,27,5.0,1,1,0,81
1572,45414,Analytics,region_22,Bachelor's,m,other,3,26,3.0,1,0,0,86
1573,6532,Technology,region_2,Below Secondary,f,other,1,22,4.0,1,1,0,79
1574,11192,Operations,region_31,Bachelor's,m,other,1,28,3.0,1,0,0,56
1575,76048,Sales & Marketing,region_31,Bachelor's,f,sourcing,1,27,5.0,1,1,0,52
1576,37405,Technology,region_2,Below Secondary,f,other,1,23,3.0,1,0,0,80
1577,71613,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,25,3.0,1,0,0,52
1578,19824,Procurement,region_7,Master's & above,f,other,1,40,5.0,1,1,0,69
1579,22090,Analytics,region_5,Bachelor's,m,other,1,29,3.0,1,0,0,87
1580,54248,Operations,region_20,Bachelor's,m,other,1,28,3.0,1,0,0,63
1581,40247,Sales & Marketing,region_4,Bachelor's,m,sourcing,3,27,5.0,1,1,0,46
1582,53452,Operations,region_31,Bachelor's,f,sourcing,1,29,3.0,1,0,0,60
1583,41647,Operations,region_27,Bachelor's,f,sourcing,1,28,3.0,1,0,0,62
1584,56641,Technology,region_2,Bachelor's,m,sourcing,2,25,3.0,1,0,0,75
1585,523,Sales & Marketing,region_13,Bachelor's,m,other,1,29,3.0,1,0,0,50
1586,32276,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,27,5.0,1,1,0,48
1587,3557,Technology,region_2,Bachelor's,f,other,3,24,3.0,1,0,0,79
1588,40335,Technology,region_7,Master's & above,m,other,2,32,3.0,1,0,0,79
1589,58344,Sales & Marketing,region_18,Bachelor's,m,sourcing,1,30,3.0,1,0,0,52
1590,9886,Legal,region_22,Bachelor's,m,other,1,30,5.0,1,0,0,53
1591,50907,Operations,region_34,Bachelor's,m,other,1,27,3.0,1,0,0,62
1592,25650,Operations,region_29,Bachelor's,f,other,1,28,3.0,1,0,0,60
1593,2561,Procurement,region_2,Bachelor's,m,other,2,27,3.0,1,0,0,70
1594,6616,Legal,region_22,Bachelor's,m,sourcing,1,27,3.0,1,0,0,64
1595,57597,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,23,1.0,1,0,1,50
1596,9264,Procurement,region_22,Bachelor's,f,other,2,27,5.0,1,1,0,71
1597,46859,Sales & Marketing,region_31,Bachelor's,m,other,1,25,3.0,1,0,0,46
1598,30885,Operations,region_15,Bachelor's,m,other,2,29,3.0,1,0,0,71
1599,64352,Technology,region_2,Below Secondary,m,other,1,20,4.0,1,1,0,77
1600,67307,Sales & Marketing,region_9,Master's & above,m,other,1,28,5.0,1,1,0,49
1601,5693,Finance,region_22,Bachelor's,m,other,1,25,3.0,1,0,0,63
1603,16782,Operations,region_22,Bachelor's,f,sourcing,1,29,3.0,1,0,0,64
1604,22206,Finance,region_16,Below Secondary,m,other,1,23,3.0,1,0,0,60
1605,44108,Analytics,region_22,Bachelor's,f,other,1,29,3.0,1,0,0,85
1606,7192,Technology,region_2,Bachelor's,m,sourcing,1,26,3.0,1,0,0,80
1607,65260,Sales & Marketing,region_16,Bachelor's,m,other,1,30,5.0,1,1,0,50
1608,28122,Procurement,region_26,Bachelor's,f,sourcing,1,27,3.0,1,0,0,70
1610,11753,Finance,region_22,Bachelor's,m,sourcing,2,27,3.0,1,0,0,61
1611,11650,Sales & Marketing,region_28,Bachelor's,m,other,1,27,4.0,1,1,0,93
1612,63977,Operations,region_22,Bachelor's,m,other,2,25,3.0,1,1,1,55
1613,33372,Sales & Marketing,region_6,Bachelor's,m,other,1,27,3.0,1,0,0,47
1614,33902,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,31,3.0,1,0,0,46
1615,38416,Analytics,region_8,Bachelor's,m,other,1,28,3.0,1,0,0,87
1616,230,Sales & Marketing,region_27,Bachelor's,m,sourcing,3,27,3.0,1,0,0,47
1617,24224,Analytics,region_22,Bachelor's,f,other,1,28,5.0,1,0,0,90
1619,68078,Procurement,region_11,Bachelor's,f,sourcing,1,27,3.0,1,0,0,66
1620,62866,Sales & Marketing,region_16,Bachelor's,m,other,1,25,5.0,1,1,0,51
1621,74435,Analytics,region_32,Bachelor's,m,other,1,27,3.0,1,0,0,83
1622,17359,Analytics,region_22,Bachelor's,m,sourcing,3,26,5.0,1,1,0,83
1623,6215,Analytics,region_22,Bachelor's,m,other,2,25,5.0,1,1,0,89
1624,25456,Sales & Marketing,region_20,Bachelor's,m,sourcing,1,29,3.0,1,0,0,48
1625,35547,Sales & Marketing,region_34,Bachelor's,m,other,1,25,3.0,1,0,0,52
1626,46775,Finance,region_26,Bachelor's,m,other,1,30,3.0,1,0,0,58
1628,42953,R&D,region_11,Bachelor's,m,sourcing,3,30,3.0,1,1,0,81
1629,11827,Procurement,region_6,Bachelor's,f,other,1,29,3.0,1,0,0,69
1630,66840,Sales & Marketing,region_15,Bachelor's,m,other,1,20,3.0,1,0,0,48
1631,72456,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,31,3.0,1,0,0,48
1632,49811,Analytics,region_17,Bachelor's,m,sourcing,1,29,3.0,1,0,0,86
1633,37679,Sales & Marketing,region_26,Bachelor's,m,other,1,22,3.0,1,0,0,52
1634,2926,Technology,region_7,Bachelor's,m,referred,1,28,3.0,1,0,0,79
1635,1493,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,27,3.0,1,0,0,52
1636,40969,Technology,region_7,Bachelor's,f,other,1,27,4.0,1,1,0,79
1637,12778,Procurement,region_24,Bachelor's,m,sourcing,1,28,5.0,1,1,0,66
1638,29941,Finance,region_2,Bachelor's,m,other,2,24,3.0,1,0,0,61
1639,19239,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,28,3.0,1,0,0,49
1640,16501,Sales & Marketing,region_24,Bachelor's,m,other,1,29,3.0,1,0,0,54
1641,57891,Sales & Marketing,region_22,Bachelor's,m,other,1,25,3.0,1,0,0,51
1642,34541,Sales & Marketing,region_29,Bachelor's,m,other,1,29,3.0,1,0,0,49
1643,2578,Analytics,region_22,Bachelor's,m,sourcing,1,27,3.0,1,0,0,83
1644,20635,Procurement,region_22,Bachelor's,m,other,1,26,5.0,1,1,0,71
1645,75150,Analytics,region_29,Bachelor's,m,other,2,25,5.0,1,1,0,86
1646,55301,Analytics,region_2,Master's & above,m,sourcing,2,30,3.0,1,0,0,87
1647,66146,Finance,region_22,Below Secondary,m,sourcing,1,25,5.0,1,1,0,61
1648,24552,Procurement,region_31,Bachelor's,f,sourcing,1,29,3.0,1,0,0,71
1649,25332,Analytics,region_29,Bachelor's,m,other,2,27,5.0,1,1,0,87
1650,77735,Analytics,region_29,Bachelor's,f,sourcing,1,28,1.0,1,0,0,87
1651,55853,Finance,region_2,Below Secondary,f,sourcing,1,23,1.0,1,1,0,62
1652,65529,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,24,5.0,1,1,0,49
1653,29861,Procurement,region_7,Bachelor's,m,sourcing,1,29,3.0,1,0,0,71
1654,73866,Sales & Marketing,region_11,Bachelor's,m,sourcing,2,25,3.0,1,0,0,45
1655,35823,Procurement,region_26,Bachelor's,m,sourcing,1,29,5.0,1,1,0,66
1656,76570,Operations,region_2,Bachelor's,m,sourcing,2,28,3.0,1,0,0,56
1658,64639,Operations,region_26,Bachelor's,f,sourcing,2,29,5.0,1,1,0,60
1659,72569,Operations,region_28,Bachelor's,m,other,1,28,3.0,1,0,0,60
1660,43587,Finance,region_2,Bachelor's,f,sourcing,2,28,5.0,1,1,0,56
1661,38838,Sales & Marketing,region_24,Bachelor's,f,sourcing,1,27,5.0,1,1,0,48
1662,67528,Finance,region_2,Bachelor's,m,other,1,26,5.0,1,1,0,57
1663,31549,R&D,region_26,Bachelor's,f,sourcing,1,26,4.0,1,1,0,85
1664,18554,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,27,3.0,1,0,0,54
1665,53677,Procurement,region_2,Below Secondary,m,sourcing,3,24,5.0,1,1,0,69
1666,77279,Finance,region_2,Bachelor's,m,sourcing,1,26,3.0,1,0,0,70
1667,23356,Technology,region_26,Bachelor's,m,referred,1,26,3.0,1,0,0,79
1668,71479,Sales & Marketing,region_4,Bachelor's,f,other,1,32,3.0,1,0,0,49
1669,75211,Procurement,region_15,Bachelor's,m,other,1,30,3.0,1,0,0,66
1670,10126,Analytics,region_31,Bachelor's,m,other,1,28,3.0,1,0,0,84
1671,53694,Sales & Marketing,region_7,Bachelor's,m,other,1,26,3.0,1,0,0,45
1672,55719,Sales & Marketing,region_22,Bachelor's,m,other,2,26,3.0,1,0,0,53
1673,38653,Operations,region_20,Bachelor's,f,other,1,29,3.0,1,0,0,60
1674,31615,Finance,region_2,Bachelor's,m,other,1,23,3.0,1,0,0,56
1675,56573,Sales & Marketing,region_12,Bachelor's,m,other,1,29,3.0,1,0,0,50
1676,62854,Technology,region_2,Bachelor's,m,sourcing,1,29,5.0,1,1,0,80
1677,51231,Procurement,region_12,Bachelor's,f,sourcing,1,25,5.0,1,1,0,72
1678,58951,Technology,region_5,Bachelor's,m,sourcing,1,24,3.0,1,0,0,74
1679,37492,Technology,region_31,Bachelor's,f,sourcing,1,29,3.0,1,0,0,78
1680,33810,Legal,region_2,Bachelor's,m,sourcing,1,29,3.0,1,0,0,60
1681,9766,Operations,region_15,Master's & above,f,sourcing,1,30,3.0,1,0,0,62
1682,1940,R&D,region_2,Master's & above,m,sourcing,1,31,5.0,1,1,0,83
1683,4889,Technology,region_5,Bachelor's,m,other,1,27,3.0,1,0,0,78
1684,57542,Operations,region_26,Bachelor's,m,sourcing,1,25,3.0,1,0,0,60
1685,49505,R&D,region_11,Master's & above,m,other,1,31,3.0,1,0,0,84
1686,49698,Sales & Marketing,region_13,Bachelor's,f,sourcing,1,29,3.0,1,0,0,51
1687,29530,Operations,region_27,Bachelor's,m,sourcing,2,27,5.0,1,1,0,60
1688,43751,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,23,3.0,1,0,0,50
1689,22760,HR,region_2,Below Secondary,m,other,1,23,3.0,1,0,0,47
1690,36899,Finance,region_2,Below Secondary,m,other,3,25,3.0,1,0,0,56
1691,69578,Sales & Marketing,region_2,Bachelor's,m,other,2,23,3.0,1,0,0,47
1692,57065,HR,region_2,Below Secondary,m,sourcing,1,23,3.0,1,0,0,49
1693,58345,Sales & Marketing,region_3,Bachelor's,m,other,1,28,3.0,1,0,0,50
1694,51719,Operations,region_22,Bachelor's,m,other,1,24,5.0,1,1,0,62
1695,46983,Operations,region_11,Bachelor's,m,other,1,31,5.0,1,1,0,60
1696,33714,Sales & Marketing,region_32,Bachelor's,m,other,2,27,3.0,1,0,0,46
1697,50291,Operations,region_20,Bachelor's,f,other,1,29,5.0,1,1,0,61
1698,6187,Operations,region_9,Bachelor's,m,other,1,27,5.0,1,1,0,61
1699,15765,Analytics,region_8,Bachelor's,m,other,1,29,5.0,1,1,0,87
1700,9170,Sales & Marketing,region_26,Bachelor's,m,other,1,30,3.0,1,0,0,49
1701,26328,Operations,region_14,Below Secondary,m,other,1,22,5.0,1,1,0,61
1702,77290,Procurement,region_7,Below Secondary,f,other,1,23,5.0,1,1,0,66
1703,48981,R&D,region_2,Bachelor's,m,other,2,27,5.0,1,1,0,83
1704,37728,Sales & Marketing,region_26,Bachelor's,m,other,1,28,5.0,1,1,0,54
1705,47399,R&D,region_22,Master's & above,m,other,1,29,3.0,1,0,0,81
1707,30253,Operations,region_28,Bachelor's,f,sourcing,1,25,5.0,1,1,0,59
1708,21749,Finance,region_2,Bachelor's,m,other,2,23,3.0,1,0,0,61
1710,48660,Analytics,region_1,Bachelor's,m,sourcing,3,27,5.0,1,1,0,78
1711,25892,Analytics,region_13,Bachelor's,f,other,1,28,3.0,1,0,0,85
1712,77330,Analytics,region_27,Bachelor's,f,other,1,29,3.0,1,0,0,85
1713,47979,Analytics,region_11,Bachelor's,m,sourcing,1,27,3.0,1,0,0,81
1714,36706,Operations,region_22,Bachelor's,m,sourcing,1,29,5.0,1,1,0,58
1715,41062,Finance,region_4,Bachelor's,m,other,1,28,3.0,1,0,0,60
1716,26646,HR,region_2,Bachelor's,f,other,1,24,3.0,1,0,0,51
1717,1113,Analytics,region_20,Bachelor's,m,other,2,30,3.0,1,0,0,85
1718,27964,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,28,5.0,1,1,0,51
1719,6859,Technology,region_2,Bachelor's,f,other,2,24,4.0,1,1,0,80
1721,53976,Analytics,region_7,Bachelor's,m,sourcing,2,25,3.0,1,0,0,83
1722,50322,Analytics,region_27,Bachelor's,m,sourcing,3,25,3.0,1,0,0,81
1723,2094,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,24,3.0,1,0,0,53
1724,63873,Operations,region_26,Bachelor's,m,sourcing,1,25,3.0,1,0,0,62
1725,10231,Sales & Marketing,region_22,Bachelor's,m,sourcing,2,27,5.0,1,1,0,43
1726,45499,Analytics,region_2,Bachelor's,m,other,1,26,3.0,1,0,0,80
1728,72512,Operations,region_7,Bachelor's,m,other,1,29,5.0,1,1,0,60
1729,27134,Sales & Marketing,region_21,Bachelor's,m,other,1,31,5.0,1,1,0,45
1730,55165,Procurement,region_2,Bachelor's,f,other,1,26,3.0,1,0,0,67
1731,37639,Analytics,region_22,Bachelor's,f,sourcing,1,25,3.0,1,1,0,89
1733,76554,Sales & Marketing,region_19,Bachelor's,m,other,1,30,3.0,1,0,0,52
1734,28447,Sales & Marketing,region_9,Bachelor's,f,other,1,27,1.0,1,0,0,50
1735,15621,Analytics,region_13,Bachelor's,m,other,1,27,3.0,1,0,0,87
1736,18301,R&D,region_22,Master's & above,f,sourcing,3,27,3.0,1,0,0,87
1737,30475,Sales & Marketing,region_22,Bachelor's,f,referred,1,27,5.0,1,0,0,52
1738,16324,Technology,region_22,Bachelor's,m,other,3,31,4.0,1,1,0,79
1739,39931,Technology,region_2,Bachelor's,m,sourcing,1,23,4.0,1,1,0,73
1740,47622,Sales & Marketing,region_11,Bachelor's,m,other,1,27,3.0,1,0,0,50
1741,60823,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,28,3.0,1,0,0,49
1742,16066,Sales & Marketing,region_26,Bachelor's,m,sourcing,2,23,3.0,1,0,0,48
1743,35370,Sales & Marketing,region_13,Master's & above,m,other,1,31,5.0,1,1,0,49
1744,25433,Operations,region_20,Bachelor's,f,sourcing,1,26,5.0,1,1,0,63
1745,50334,Sales & Marketing,region_5,Bachelor's,m,sourcing,2,29,3.0,1,0,0,46
1746,66026,HR,region_2,Bachelor's,m,referred,1,25,5.0,1,1,0,49
1748,17651,Sales & Marketing,region_6,Bachelor's,m,sourcing,1,31,3.0,1,0,0,48
1749,72375,Sales & Marketing,region_7,Bachelor's,m,other,1,25,3.0,1,0,0,51
1750,65032,Analytics,region_22,Bachelor's,m,sourcing,1,29,5.0,1,1,0,99
1751,75166,Technology,region_7,Bachelor's,m,referred,1,26,3.0,1,0,0,76
1752,70350,Operations,region_8,Bachelor's,f,sourcing,1,27,3.0,1,0,0,63
1753,72612,Technology,region_22,Bachelor's,f,sourcing,1,23,4.0,1,1,0,76
1754,36091,Finance,region_8,Bachelor's,f,sourcing,1,30,5.0,1,1,0,56
1755,61576,Sales & Marketing,region_18,Bachelor's,m,other,1,29,3.0,1,0,0,47
1756,42103,Technology,region_22,Bachelor's,m,other,4,29,3.0,1,0,0,82
1757,46822,HR,region_32,Below Secondary,m,other,1,23,3.0,1,0,0,48
1758,13335,Sales & Marketing,region_11,Bachelor's,f,sourcing,1,27,5.0,1,1,0,49
1759,58478,Sales & Marketing,region_20,Bachelor's,m,sourcing,2,28,5.0,1,1,0,49
1760,32509,Legal,region_13,Bachelor's,m,other,1,29,3.0,1,0,0,59
1761,50398,Sales & Marketing,region_1,Bachelor's,m,sourcing,1,26,3.0,1,0,0,49
1763,68125,R&D,region_22,Bachelor's,f,other,1,27,3.0,1,1,0,82
1764,67761,Technology,region_7,Master's & above,m,sourcing,1,32,3.0,1,0,0,82
1765,19521,Operations,region_29,Bachelor's,m,sourcing,1,28,3.0,1,0,0,61
1766,63963,Technology,region_2,Bachelor's,f,other,1,23,3.0,1,0,0,82
1767,13133,Analytics,region_29,Bachelor's,m,other,2,29,4.0,1,0,0,90
1768,12284,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,30,5.0,1,1,0,48
1769,18596,Sales & Marketing,region_6,Bachelor's,f,other,1,27,3.0,1,0,0,54
1770,395,Operations,region_24,Bachelor's,m,other,1,23,3.0,1,0,0,63
1771,66892,Operations,region_28,Bachelor's,f,other,1,27,5.0,1,1,0,62
1772,55631,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,29,3.0,1,0,0,53
1773,63727,Analytics,region_26,Bachelor's,f,other,1,29,4.0,1,0,0,86
1774,2784,Operations,region_22,Bachelor's,f,sourcing,1,27,3.0,1,1,1,90
1775,9511,Operations,region_2,Bachelor's,f,sourcing,1,20,3.0,1,0,0,64
1777,42430,Procurement,region_22,Bachelor's,f,sourcing,1,30,5.0,1,1,0,66
1779,18068,Operations,region_22,Bachelor's,m,other,2,27,5.0,1,1,0,62
1780,51594,Technology,region_2,Bachelor's,f,referred,1,27,3.0,1,0,0,80
1781,1743,Sales & Marketing,region_13,Master's & above,m,sourcing,3,30,3.0,1,0,0,49
1782,25957,Finance,region_28,Bachelor's,m,other,1,27,3.0,1,0,0,56
1785,73366,Sales & Marketing,region_1,Bachelor's,m,other,1,27,3.0,1,0,0,47
1786,69477,R&D,region_11,Master's & above,m,other,1,30,3.0,1,0,0,87
1787,32245,Technology,region_5,Bachelor's,f,sourcing,2,26,3.0,1,0,0,86
1788,33460,Finance,region_20,Bachelor's,m,other,2,29,5.0,1,1,0,62
1789,52901,Analytics,region_22,Bachelor's,m,sourcing,2,23,3.0,1,0,0,87
1790,68036,Legal,region_22,Bachelor's,f,other,1,30,1.0,1,0,0,57
1791,12138,Operations,region_7,Bachelor's,m,other,1,32,3.0,1,0,0,57
1792,19439,Sales & Marketing,region_23,Bachelor's,m,sourcing,1,29,3.0,1,0,0,49
1793,12206,Technology,region_22,Bachelor's,m,referred,4,27,3.0,1,0,0,84
1795,1705,Legal,region_22,Below Secondary,m,other,1,26,1.0,1,0,0,64
1796,22952,Sales & Marketing,region_22,Bachelor's,m,other,2,24,3.0,1,0,0,50
1797,50056,HR,region_25,Bachelor's,f,other,1,26,5.0,1,1,0,50
1798,38700,Analytics,region_3,Bachelor's,m,sourcing,1,29,5.0,1,1,0,86
1799,1563,Technology,region_2,Below Secondary,f,other,1,25,3.0,1,0,0,80
1800,60434,Analytics,region_22,Bachelor's,m,sourcing,1,29,3.0,1,0,0,87
1801,22745,Sales & Marketing,region_30,Bachelor's,m,other,1,26,3.0,1,0,0,45
1802,58409,Analytics,region_21,Bachelor's,f,other,1,27,5.0,1,0,0,88
1803,27204,Procurement,region_7,Bachelor's,f,other,1,23,3.0,1,0,0,72
1804,58481,Sales & Marketing,region_22,Bachelor's,m,referred,1,28,5.0,1,1,0,49
1805,16026,Sales & Marketing,region_2,Bachelor's,f,sourcing,2,31,1.0,1,0,0,49
1806,54658,Technology,region_2,Bachelor's,f,other,1,23,4.0,1,1,0,79
1807,53291,Operations,region_4,Bachelor's,m,sourcing,1,32,5.0,1,1,0,62
1808,10138,Technology,region_2,Bachelor's,f,referred,1,29,3.0,1,0,0,79
1809,65765,Analytics,region_31,Bachelor's,m,sourcing,3,28,3.0,1,0,0,86
1810,39410,Sales & Marketing,region_2,Bachelor's,m,other,3,20,3.0,1,0,0,49
1811,1186,Procurement,region_31,Bachelor's,m,sourcing,3,27,3.0,1,0,0,70
1,74430,HR,region_4,Bachelor's,f,other,1,31,3.0,5,0,0,51
2,72255,Sales & Marketing,region_13,Bachelor's,m,other,1,31,1.0,4,0,0,47
3,38562,Procurement,region_2,Bachelor's,f,other,3,31,2.0,9,0,0,65
4,64486,Finance,region_29,Bachelor's,m,sourcing,1,30,4.0,7,0,0,61
5,46232,Procurement,region_7,Bachelor's,m,sourcing,1,36,3.0,2,0,0,68
6,54542,Finance,region_2,Bachelor's,m,other,1,33,5.0,3,1,0,57
7,67269,Analytics,region_22,Bachelor's,m,sourcing,2,36,3.0,3,0,0,85
8,66174,Technology,region_7,Master's & above,m,other,1,51,4.0,11,0,0,75
9,76303,Technology,region_22,Bachelor's,m,sourcing,1,29,5.0,2,1,0,76
10,60245,Sales & Marketing,region_16,Bachelor's,m,sourcing,2,40,5.0,12,1,0,50
11,42639,Sales & Marketing,region_17,Master's & above,m,sourcing,1,40,3.0,10,0,0,46
12,30963,Sales & Marketing,region_4,Master's & above,f,other,1,34,3.0,4,0,0,52
13,54055,Analytics,region_24,Bachelor's,m,other,1,37,3.0,10,0,0,82
14,42996,Operations,region_11,Bachelor's,m,sourcing,1,30,5.0,6,1,0,58
15,12737,Sales & Marketing,region_7,Bachelor's,m,sourcing,1,31,4.0,4,1,0,47
16,27561,Operations,region_27,Bachelor's,f,sourcing,1,26,5.0,3,0,0,56
17,26622,Sales & Marketing,region_17,Bachelor's,m,sourcing,1,40,5.0,6,1,0,50
18,31582,Procurement,region_7,Bachelor's,f,other,1,49,3.0,7,1,0,64
19,29793,Procurement,region_27,Bachelor's,m,other,1,27,2.0,5,0,0,65
20,72735,Sales & Marketing,region_9,Master's & above,m,sourcing,1,37,5.0,3,0,0,47
22,60889,Technology,region_29,Master's & above,m,sourcing,1,30,1.0,3,0,0,83
23,51498,Procurement,region_4,Master's & above,m,other,1,41,3.0,4,0,0,76
24,8566,Finance,region_20,Bachelor's,f,other,1,29,4.0,6,1,0,58
25,53151,Operations,region_20,Bachelor's,m,other,1,33,3.0,7,1,1,62
26,16203,Sales & Marketing,region_17,Master's & above,m,sourcing,1,34,4.0,6,1,0,50
27,61083,Analytics,region_13,Bachelor's,m,sourcing,1,34,3.0,3,1,0,87
28,74849,Operations,region_22,Bachelor's,m,other,1,52,1.0,10,0,0,61
29,13259,Sales & Marketing,region_34,Bachelor's,m,sourcing,1,30,2.0,3,0,0,50
30,72407,Analytics,region_2,Master's & above,m,sourcing,2,34,4.0,7,0,0,87
31,65237,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,43,1.0,14,0,0,52
33,77460,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,35,3.0,3,1,0,52
34,67317,Technology,region_22,Master's & above,m,other,4,40,3.0,12,0,0,77
35,68788,Technology,region_23,Bachelor's,m,sourcing,2,33,4.0,9,0,0,83
36,36834,Sales & Marketing,region_8,Master's & above,m,other,1,30,3.0,2,1,0,55
37,64281,Sales & Marketing,region_14,Bachelor's,f,sourcing,2,42,1.0,3,1,0,46
38,1822,Sales & Marketing,region_22,Bachelor's,m,sourcing,3,29,1.0,3,0,0,51
40,41432,Analytics,region_26,Bachelor's,m,sourcing,1,26,5.0,4,1,0,90
41,52061,Sales & Marketing,region_31,Bachelor's,m,other,1,27,2.0,3,0,0,52
42,39973,Operations,region_13,Bachelor's,m,other,1,34,5.0,5,1,0,66
43,42524,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,26,4.0,5,0,0,45
44,7935,Technology,region_2,Bachelor's,f,other,1,52,5.0,18,0,0,80
45,49940,Sales & Marketing,region_7,Bachelor's,m,other,1,26,5.0,2,1,0,54
46,10059,Analytics,region_34,Bachelor's,m,sourcing,3,27,3.0,2,0,0,83
48,76691,Operations,region_23,Bachelor's,m,other,1,33,4.0,8,1,0,59
50,5621,Technology,region_2,Master's & above,f,other,1,57,1.0,26,0,0,76
51,24147,Sales & Marketing,region_2,Bachelor's,m,other,2,46,1.0,7,0,0,49
52,33997,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,30,2.0,3,0,0,50
55,23714,Technology,region_7,Master's & above,m,sourcing,2,40,3.0,6,0,0,81
56,19866,Technology,region_23,Bachelor's,m,other,2,32,3.0,6,0,0,79
