,Unnamed: 0,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
1952,43986,73191,Analytics,region_22,0,m,other,1,25,3,1,1,0,85,0
1958,44215,16621,R&D,region_27,0,m,other,1,27,4,1,1,0,87,0
1978,44573,59567,Analytics,region_22,0,m,other,1,27,5,1,1,0,81,0
1983,44782,71520,Analytics,region_29,0,m,other,1,27,3,1,1,0,83,0
1987,44852,63766,Analytics,region_22,0,m,other,1,27,5,1,0,0,83,0
1997,45089,68648,Sales & Marketing,region_29,0,m,sourcing,2,27,3,1,0,0,48,0
2014,45500,17686,Sales & Marketing,region_16,0,m,other,1,24,5,1,0,0,51,0
2017,45564,37127,Sales & Marketing,region_16,0,m,other,1,25,3,1,0,0,52,0
2019,45613,554,Sales & Marketing,region_6,0,m,other,1,26,3,1,0,0,46,0
2020,45630,72155,Sales & Marketing,region_2,0,m,other,1,20,3,1,0,0,47,0
2026,45809,25627,Sales & Marketing,region_2,0,m,other,3,20,5,1,0,0,52,0
2027,45811,34847,Sales & Marketing,region_27,0,m,other,2,28,3,1,0,0,51,0
2031,45890,51584,Sales & Marketing,region_7,0,m,other,2,23,3,1,0,0,48,0
2049,46279,46441,Sales & Marketing,region_2,0,m,other,1,21,3,1,1,0,51,0
2051,46331,15954,Analytics,region_22,0,m,other,1,29,3,1,1,0,79,1
2064,46661,43447,Sales & Marketing,region_26,0,f,other,1,22,3,1,0,0,53,0
2071,46817,59749,Sales & Marketing,region_9,0,f,other,1,28,3,1,0,0,51,0
2073,46887,73642,Analytics,region_2,0,m,other,1,23,3,1,1,0,81,1
2076,46902,70436,Sales & Marketing,region_6,0,m,other,2,25,5,1,0,0,49,0
2078,46917,67432,Sales & Marketing,region_15,0,m,other,1,28,3,1,0,0,46,0
2079,46931,71942,Sales & Marketing,region_2,0,m,other,3,24,3,1,0,0,48,0
2082,46984,71762,Sales & Marketing,region_32,0,m,sourcing,1,28,3,1,0,0,51,0
2095,47359,57566,Sales & Marketing,region_16,0,m,other,1,23,4,1,0,0,44,0
2106,47721,54402,Sales & Marketing,region_22,0,m,other,1,23,5,1,0,0,51,0
2110,47827,15874,Sales & Marketing,region_22,0,m,other,1,21,5,1,1,0,52,0
2116,47996,12239,Sales & Marketing,region_7,0,m,other,1,21,3,1,0,0,49,0
2131,48334,47960,Sales & Marketing,region_2,0,m,other,2,22,5,1,0,0,50,0
2134,48381,49580,Sales & Marketing,region_16,0,m,sourcing,1,21,5,1,0,0,51,0
2140,48446,56108,Sales & Marketing,region_7,0,m,sourcing,1,22,5,1,0,0,46,0
2146,48626,28289,Procurement,region_17,0,m,other,1,28,5,1,0,0,68,0
2179,49400,60631,Sales & Marketing,region_14,0,m,sourcing,1,23,5,1,0,1,52,0
2183,49478,14113,Sales & Marketing,region_22,0,m,other,1,28,3,1,0,0,52,0
2184,49482,335,Sales & Marketing,region_22,0,m,sourcing,1,27,3,1,0,0,42,0
2191,49600,11842,Sales & Marketing,region_2,0,m,sourcing,2,23,5,1,0,0,50,0
2205,49813,65515,Sales & Marketing,region_7,0,m,other,3,25,3,1,0,0,46,0
2206,49856,17576,Sales & Marketing,region_7,0,m,other,6,25,3,1,1,0,50,1
2218,50141,57701,Sales & Marketing,region_26,0,f,other,1,24,3,1,0,0,51,0
2228,50472,36064,Sales & Marketing,region_27,0,m,other,1,24,1,1,0,0,53,0
2234,50588,31693,Operations,region_9,0,m,other,1,27,3,1,1,0,58,0
2239,50746,72883,Sales & Marketing,region_7,0,m,other,1,27,3,1,1,0,50,0
2254,51182,27042,Sales & Marketing,region_26,0,f,sourcing,1,24,3,1,0,0,46,0
2261,51365,44328,Sales & Marketing,region_2,0,m,sourcing,1,25,3,1,1,0,50,0
2262,51370,24253,Sales & Marketing,region_16,0,m,other,1,23,5,1,0,0,47,0
2267,51481,16059,Sales & Marketing,region_7,0,m,other,2,23,5,1,0,0,47,0
2281,52065,51797,Sales & Marketing,region_24,0,f,other,1,30,3,1,0,0,52,0
2288,52150,28736,Sales & Marketing,region_2,0,m,sourcing,1,23,5,1,0,0,49,0
2292,52233,70352,Sales & Marketing,region_14,0,m,sourcing,1,24,3,1,0,0,52,0
2293,52236,2879,Sales & Marketing,region_2,0,m,sourcing,2,23,5,1,0,0,47,0
2299,52391,73565,Sales & Marketing,region_7,0,m,sourcing,1,24,3,1,0,0,51,0
2303,52456,5447,Sales & Marketing,region_22,0,m,sourcing,1,27,3,1,0,0,53,0
2304,52495,64737,Analytics,region_29,0,m,other,1,29,5,1,0,0,82,0
2310,52629,47408,Sales & Marketing,region_9,0,m,sourcing,1,30,3,1,0,0,52,0
2312,52700,10918,Sales & Marketing,region_15,0,m,sourcing,1,24,5,1,1,0,45,0
2313,52701,72087,Sales & Marketing,region_2,0,m,sourcing,3,21,5,1,0,0,52,0
2316,52809,17419,Sales & Marketing,region_22,0,m,sourcing,1,21,3,1,1,0,48,0
2318,52870,43728,Sales & Marketing,region_15,0,m,sourcing,1,27,5,1,0,0,54,0
2321,52962,42450,Sales & Marketing,region_7,0,m,sourcing,1,28,3,1,0,0,53,0
2324,53009,2571,HR,region_2,0,m,other,1,25,5,1,0,0,48,0
2330,53090,55789,Sales & Marketing,region_15,0,m,other,1,23,5,1,0,0,51,0
2333,53152,54399,Analytics,region_13,0,m,sourcing,1,29,5,1,0,0,92,0
2343,53379,29392,Sales & Marketing,region_22,0,m,sourcing,1,20,5,1,0,0,52,0
2345,53405,12626,Sales & Marketing,region_7,0,m,sourcing,1,27,1,1,1,0,45,0
2350,53502,57827,Sales & Marketing,region_25,0,m,sourcing,2,26,3,1,0,0,50,0
2356,53623,25935,Sales & Marketing,region_29,0,m,sourcing,1,27,4,1,0,0,54,0
2365,53893,589,Sales & Marketing,region_14,0,m,other,2,24,5,1,0,0,47,0
2370,53971,12248,Sales & Marketing,region_2,0,m,sourcing,1,27,3,1,0,0,53,0
2371,53983,71684,Sales & Marketing,region_2,0,f,other,1,25,3,1,0,1,86,1
2387,54447,37806,Technology,region_22,0,m,sourcing,1,29,2,1,1,1,78,0
